#BarcodeDet	Protein	Type	META_bio.protein.uniprotid
97335859775173	PSA_total_TI00010	Cancer	Q07325
8480681866896	IL-4_TI00015	Cardiovascular	Q07325
56145694888048	IL-18_TI00016	Neurological	Q07325
72988443697650	IL-28a_TI00018	Metabolic	Q07325
183884891766281	HE4_TI00026	Cancer	Q07325
118820763865373	CR4_TI00477	Cardiovascular	Q07325
128312524714774	EGF_TI00034	Neurological	Q07325
156325225835853	DC-SIGN_TI00035	Metabolic	Q07325
195398810580692	GDF15_TI00038	Cancer	Q07325
21342700398908	REG4_TI00039	Cardiovascular	Q07325
117870049309634	FGFR2_TI00057	Neurological	Q07325
258403568649284	CTLA-4_TI00086	Metabolic	Q07325
213704817925383	NGAL_TI00091	Metabolic	Q07325
215812640360395	hGF_TI00095	Cancer	Q07325
168375931708179	IL-17E_TI00096	Cardiovascular	Q07325
131142941885976	CCL23_TI00142	Cancer	Q07325
252371941033963	M-CSF_TI00145	Cardiovascular	Q07325
125117320514341	CD55_TI00151	Neurological	Q07325
212811263347963	Eotaxin-2_TI00154	Metabolic	Q07325
189469825978977	CDNF_TI00172	Cancer	Q07325
197116881487577	ADGRE5_TI00181	Cardiovascular	Q07325
58893786255431	AGRN_TI00189	Neurological	Q07325
34224532824197	IL-4RA_TI00211	Metabolic	Q07325
33827617424411	BST2_TI00215	Cancer	Q07325
172556814184579	CD86_TI00223	Cardiovascular	Q07325
36517827393144	CXCL3_TI00225	Neurological	Q07325
118043173411857	CD28LG1_TI00227	Metabolic	Q07325
134217064911320	COL1A1_TI00228	Cancer	Q07325
42455502593265	CD23_TI00241	Cardiovascular	Q07325
86098530160224	GOT1_TI00244	Neurological	Q07325
78100176504861	Granulin_TI00246	Metabolic	Q07325
123425724055882	FGFR4_TI00258	Metabolic	Q07325
127682271780952	HMOX1_TI00260	Cancer	Q07325
14576079684034	NG2_TI00264	Cardiovascular	Q07325
205964514644697	HPSE_TI00269	Cancer	Q07325
75089102261003	NRP1_TI00272	Cancer	Q07325
38559111385534	IL1RN_TI00300	Cardiovascular	Q07325
74909049168159	PNP_TI00303	Neurological	Q07325
215247399142448	Mesothelin_TI00310	Metabolic	Q07325
128454829069368	BAG3_TI00312	Cancer	Q07325
241991943984931	THBD_TI00323	Cardiovascular	Q07325
53940765921040	HVEM_TI00345	Neurological	Q07325
202411469182871	YKL-40_TI00363	Metabolic	Q07325
220473116361957	PLAUR_TI00365	Cancer	Q07325
36385102829457	VTN_TI00366	Cardiovascular	Q07325
106694308858292	KRT8_TI00318	Neurological	Q07325
36512374797619	Smad3_TI00321	Metabolic	Q07325
12863763362580	SERPINB5_TI00335	Metabolic	Q07325
215882869790757	Mcherry_TI00004	Cancer	Q07325
156888403456109	N_Capture_TI00003	Cardiovascular	Q07325
223483066532276	CCL4_TI00199	Cancer	Q07325
87419886993927	MMP3_TI00306	Cancer	Q07325
276323767111843	InternalControl_C_12_TMI06107_80fM	Control	Q07325
135051647570985	IC_14_TMI06109_80fM	Control	Q07325
228170402858255	IC_17_TMI06112_16fM	Control	Q07325
72653369119726	IC_18_TMI06113_16fM	Control	Q07325
