Cognate Normalized Reads	SCC1	SCC2	Base1	Base2	MIgG1	MIgG2	MIgGRIgG1	MIgGRIgG2	HBRplusHBR22_1	HBRplusHBR22_2	MIgG1_1	MIgG1_2
TI00002	36,736	33,141	10,703	8,939	8,771	7,648	8,502	6,685	1,897	1,184	12,015	9,513
TI00007	13,553	12,135	2,881	2,369	2,544	2,232	2,461	1,928	660	407	3,402	2,604
TI00008	2,041	2,154	1,199	1,104	971	850	955	793	171	129	1,150	847
TI00009	8,223	9,265	3,554	2,317	2,956	2,465	2,863	2,151	968	672	4,248	3,050
TI00010	8,647	9,652	2,899	1,635	2,667	1,898	1,927	1,507	524	324	3,304	2,310
TI00014	22,217	22,895	5,429	4,750	5,173	4,457	4,672	4,136	947	701	6,540	5,189
TI00015	12,586	13,459	13,357	11,892	11,702	10,383	11,581	9,500	2,532	1,666	13,031	10,106
TI00016	15,571	16,178	5,148	4,554	4,749	4,510	5,009	3,982	1,253	879	6,235	5,093
TI00018	4,651	4,759	981	931	991	800	968	842	217	156	1,250	1,221
TI00019	4,734	4,438	2,517	2,072	1,984	1,963	1,980	1,448	435	313	2,295	1,694
TI00020	18,861	17,773	3,404	2,657	2,744	2,297	2,904	2,122	538	270	3,743	2,897
TI00021	10,324	10,564	2,318	1,939	2,411	1,672	1,900	1,462	373	217	2,978	1,945
TI00025	6,373	6,507	2,789	2,489	2,168	1,988	2,268	1,648	628	306	2,888	4,539
TI00027	98	99	44	6	33	22	22	8	1	2	31	14
TI00029	11,532	10,712	2,935	2,388	2,469	2,140	2,215	2,124	514	370	3,564	2,690
TI00036	2,581	3,058	1,889	1,524	1,607	1,576	1,609	1,348	437	464	1,997	1,537
TI00039	2,680	5,073	2,026	904	2,049	1,090	1,955	1,369	549	10	3,923	828
TI00040	432	395	279	218	157	185	191	94	40	19	272	177
TI00045	13,547	13,170	3,022	2,534	2,655	2,318	2,931	2,251	492	359	3,743	2,949
TI00052	54,822	50,354	21,102	17,745	919	919	1,251	901	3,870	2,218	25,454	21,778
TI00053	40,658	41,335	11,384	10,097	10,077	9,067	10,406	7,999	2,016	1,316	14,772	10,780
TI00056	351,816	349,237	145,031	114,694	132,850	105,430	125,572	99,495	27,691	21,028	163,658	129,905
TI00064	2,842	2,733	1,799	1,057	1,559	1,135	529	398	741	515	2,025	1,561
TI00065	767	923	315	242	342	281	245	219	40	43	292	282
TI00066	1,968	1,725	361	325	276	219	255	203	61	54	124	115
TI00074	13,369	13,242	3,875	3,393	3,387	2,965	3,593	2,539	855	387	4,834	3,108
TI00078	7,909	7,740	2,057	1,766	1,790	1,587	1,741	1,432	325	243	2,416	1,660
TI00080	11,877	13,255	7,102	6,923	6,764	6,485	6,131	5,936	1,499	1,063	7,411	6,722
TI00082	2,591	2,627	446	385	356	316	332	316	48	60	608	505
TI00085	12,532	13,188	3,631	2,803	3,347	2,768	3,023	2,411	644	482	4,443	3,252
TI00086	42,622	42,281	8,134	6,605	7,108	5,992	6,707	5,470	1,816	1,262	9,817	7,546
TI00087	1,216	1,415	471	346	385	335	397	356	68	43	503	374
TI00096	6,950	6,690	1,776	1,730	1,771	1,715	1,495	1,179	392	203	2,124	1,885
TI00099	9,054	7,786	4,041	2,737	3,654	2,951	4,073	2,401	1,453	768	4,553	3,600
TI00106	0	0	0	0	0	0	0	0	0	0	0	0
TI00116	1,675	1,846	1,237	988	930	908	895	761	261	156	1,021	954
TI00117	7,728	7,910	1,724	1,517	1,924	1,506	1,656	1,227	245	232	1,867	1,313
TI00136	174	549	314	28	167	156	177	118	41	47	229	171
