#Barcode	Name	Auto_SampleRow	Auto_SampleCol	test
285582	Sample1	0	0	a
761328	Sample2	0	1	b
434032	Sample3	0	2	b
937904	Sample4	0	3	NA
67344	Sample5	0	4	c
820176	Sample6	0	5	NA
54352	Sample7	0	6	NA
291216	Sample8	0	7	NA
208444	Sample9	0	8	NA
365356	Sample10	0	9	NA
969900	Sample11	0	10	NA
224900	Sample12	0	11	NA
1019316	Sample13	1	0	a
562324	Sample14	1	1	b
329188	Sample15	1	2	b
320904	Sample16	1	3	NA
364696	Sample17	1	4	NA
1012328	Sample18	1	5	b
1001503	Sample19	1	6	NA
135775	Sample20	1	7	b
573743	Sample21	1	8	NA
962927	Sample22	1	9	NA
211703	Sample23	1	10	b
774951	Sample24	1	11	NA
981451	Sample25	2	0	NA
78811	Sample26	2	1	NA
670277	Sample27	2	2	NA
40176	Sample28	2	3	b
843504	Sample29	2	4	NA
865904	Sample30	2	5	NA
425648	Sample31	2	6	a
159184	Sample32	2	7	NA
716880	Sample33	2	8	a
315536	Sample34	2	9	a
463904	Sample35	2	10	NA
484640	Sample36	2	11	NA
206816	Sample37	3	0	a
1011424	Sample38	3	1	b
966240	Sample39	3	2	a
804256	Sample40	3	3	NA
47900	Sample41	3	4	a
48876	Sample42	3	5	c
424300	Sample43	3	6	NA
809900	Sample44	3	7	c
60228	Sample45	3	8	NA
448052	Sample46	3	9	NA
338292	Sample47	3	10	a
289812	Sample48	3	11	b
887316	Sample49	4	0	b
461860	Sample50	4	1	NA
303972	Sample51	4	2	NA
997284	Sample52	4	3	c
1011960	Sample53	4	4	NA
19576	Sample54	4	5	NA
330776	Sample55	4	6	c
138200	Sample56	4	7	NA
217384	Sample57	4	8	c
92648	Sample58	4	9	c
882739	Sample59	4	10	a
321299	Sample60	4	11	b
91535	Sample61	5	0	NA
552159	Sample62	5	1	a
763295	Sample63	5	2	c
776239	Sample64	5	3	NA
406063	Sample65	5	4	c
336367	Sample66	5	5	c
301999	Sample67	5	6	NA
556007	Sample68	5	7	NA
547431	Sample69	5	8	NA
95291	Sample70	5	9	NA
848107	Sample71	5	10	NA
596843	Sample72	5	11	NA
804561	Sample73	6	0	c
20269	Sample74	6	1	NA
1022005	Sample75	6	2	a
661797	Sample76	6	3	NA
55013	Sample77	6	4	NA
208037	Sample78	6	5	NA
377481	Sample79	6	6	a
559577	Sample80	6	7	b
284713	Sample81	6	8	b
448233	Sample82	6	9	NA
506473	Sample83	6	10	a
441762	Sample84	6	11	b
282846	Sample85	7	0	b
291950	Sample86	7	1	c
814518	Sample87	7	2	NA
497302	Sample88	7	3	NA
973690	Sample89	7	4	NA
46042	Sample90	7	5	NA
954091	Sample91	7	6	NA
379301	Sample92	7	7	NA
476946	Sample93	7	8	NA
482352	Sample94	7	9	NA
340400	Sample95	7	10	NA
199632	Sample96	7	11	NA

