#Barcode	Name	Annotation1	META_bio.protein.uniprotid
1	I00501	A	Q07325
2	I00602	B	Q07325
3	I0073	A	Q07325
4	I00804	B	Q07325
5	I00915	B	Q07325
6	I00016	B	Q07325
7	I00027	A	Q07325
8	I20038	B	Q07325
9	I50019	A	Q07325
10	I60010	B	Q07325
11	I03021	B	Q07325
12	I03022	B	Q07325
13	I05023	A	Q07325
14	I03024	B	Q07325
15	I003025	A	Q07325
16	I00336	B	Q07325
17	I00037	B	Q07325
18	I00048	B	Q07325
19	I00049	A	Q07325
20	I00050	B	Q07325
21	I00051	A	Q07325
22	I00052	B	Q07325
23	I00063	B	Q07325
24	I00064	B	Q07325
25	I00065	A	Q07325
26	I00076	B	Q07325
27	I00077	A	Q07325
28	I00088	B	Q07325
29	I00089	B	Q07325
30	I00080	B	Q07325
31	I00081	A	Q07325
32	I00082	B	Q07325
33	I00093	A	Q07325
34	I00094	B	Q07325
35	I00115	B	Q07325
36	I00116	B	Q07325
37	I00138	A	Q07325
